ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tag,Shipping class,Image,Cross-sells,External URL,Button text,Position,Brand,product_barcode,item_group,item_subgroup,shipping_operation,NSW,WA,VIC,TAS,NT,QLD,ACT,SA,Price Range1,Price Range3,Price Range4,Price Range5,Price Range6,Price Range7,Price Range8,Price Range9,Price Range10,Category
,simple,PT0101,PaWz Dog Ramp Pet Ramps Foldable Ladder Steps Stairs Portable Car Step Travel,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Our PaWz&nbsp;Dog Ramp&nbsp;is great and safe for granting young or elderly pets to access to your vehicle. Gradual incline for pets hassle-free access and out, yet prevent injuries and joints issues.&nbsp;Rubber bottom provides a strong grip and maintain traction on any surface.&nbsp;Featuring portable and foldable design, it&nbsp;can be taken anywhere without taking up much space even travelling with your lovely dog. Get&nbsp;one&nbsp;and enjoy a memorable moment with your lovely dog in the following travelling.</p>
<p>&nbsp;</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Steady and stable construction</li>
<li>Hassle-free access and out</li>
<li>Anti-slip surface</li>
<li>Rubber gripper bottom</li>
<li>Prevent injuries and joints issue</li>
<li>Avoid hard and jarring landing</li>
<li>High bearing capacity</li>
<li>Foldable design</li>
<li>Fit all vehicles</li>
</ul><b>SPECIFICATIONS</b><p>Brand: PaWz</p>
<p>Material: High-density polyethylene</p>
<p>Weight capacity: 60kg&nbsp;&nbsp;</p>
<p>Foldable dimension: 78cm&nbsp;x 40cm x 20cm (L x W x H)</p>
<p>Overall dimension: 155cm x 39.5cm&nbsp;(L x W)</p>
<p>Colour: Black</p><b>PACKAGE CONTENTS</b><ul>
<li>1x PaWz Dog Ramp</li>
</ul>",7/6/2020,,taxable,Taxable Goods,1,100,5,,1,5000,82,42,21,1,,47.7565,119,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Training,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/p/t/pt0101_1.jpg,https://www.idropship.com.au/pub/media/catalog/product/p/t/pt0101_2.jpg,https://www.idropship.com.au/pub/media/catalog/product/p/t/pt0101_3.jpg,https://www.idropship.com.au/pub/media/catalog/product/p/t/pt0101_4.jpg,https://www.idropship.com.au/pub/media/catalog/product/p/t/pt0101_5.jpg,https://www.idropship.com.au/pub/media/catalog/product/p/t/pt0101_6.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Ramp,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,simple,JC1051-XXL-PN,PaWz Pet Cooling Mat Gel Mats Bed Cool Pad Puppy Cat Non-Toxic Beds Summer XXL,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Keep your pet cool for the summer! Our PaWz cooling gel mat builds with eco-friendly technology that provides energy-free cooling for your 4 legged friends on hot days. Simply leave the mat in the room or patio, the mat will adjust the temperature itself and stays cool for any time uses. It can keep a temperature around 26-28 Celsius ( around 80-82.4 Fahrenheit ) which is a lot less than dogs / most pets body temperature. Foldable and portable, bring it to wherever you go with your pet! Get them now for your lovely buddy and see how much they enjoy it!</p>
<ul>
<li>Self-Cooling Mat</li>
<li>No refrigeration, no electricity, non-toxic</li>
<li>Resistant to scratches or wear</li>
<li>Easy to clean surface</li>
<li>Lightweight and portable</li>
<li>Convenient for storing and travelling</li>
<li>Can be used both indoor and outdoor</li>
<li>Good quality lasts for years</li>
</ul><b>SPECIFICATION</b><ul>
<li>Cover: PVC</li>
<li>Filling material: Gel &amp; sponge</li>
<li>Waterproof: Yes</li>
<li>Dimension:</li>
<li>XXL: 113cm x 86cm（L x W)</li>
<li>Colour：Blue</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x PaWz Cooling Gel Mat</li>
</ul>",7/30/2020,,taxable,Taxable Goods,0,0,5,,1,5500,83,38,26,1,,53.81,149,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag",,,"https://www.idropship.com.au/pub/media/catalog/product/1/_/1_hagwo3ev52qqvmbt.jpg,https://www.idropship.com.au/pub/media/catalog/product/2/_/2_fb3welubrk50rekh.jpg,https://www.idropship.com.au/pub/media/catalog/product/0/3/03_heyod2f4rwclozv6.jpg,https://www.idropship.com.au/pub/media/catalog/product/4/_/4_wq2daas33wuluiib.jpg,https://www.idropship.com.au/pub/media/catalog/product/5/_/5_vnglgey1wzl42nuj.jpg,https://www.idropship.com.au/pub/media/catalog/product/6/_/6_cufdn6emhgqirkth.jpg,https://www.idropship.com.au/pub/media/catalog/product/7/_/7_pzrjr4r209g4h0bd.jpg,https://www.idropship.com.au/pub/media/catalog/product/0/8/08_xftaqxxbi0pcwrhg.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Cooling Mat,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,simple,JC1051-XL-PN,PaWz Pet Cooling Mat Gel Mats Bed Cool Pad Puppy Cat Non-Toxic Beds Summer XL,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Keep your pet cool for the summer! Our PaWz cooling gel mat builds with eco-friendly technology that provides energy-free cooling for your 4 legged friends on hot days. Simply leave the mat in the room or patio, the mat will adjust the temperature itself and stays cool for any time uses. It can keep a temperature around 26-28 Celsius ( around 80-82.4 Fahrenheit ) which is a lot less than dogs / most pets body temperature. Foldable and portable, bring it to wherever you go with your pet! Get them now for your lovely buddy and see how much they enjoy it!</p>
<ul>
<li>Self-Cooling Mat</li>
<li>No refrigeration, no electricity, non-toxic</li>
<li>Resistant to scratches or wear</li>
<li>Easy to clean surface</li>
<li>Lightweight and portable</li>
<li>Convenient for storing and travelling</li>
<li>Can be used both indoor and outdoor</li>
<li>Good quality lasts for years</li>
</ul><b>SPECIFICATION</b><ul>
<li>Cover: PVC</li>
<li>Filling material: Gel &amp; sponge</li>
<li>Waterproof: Yes</li>
<li>Dimension:</li>
<li>XL: 75cm x 65cm（L x W）</li>
<li>Colour：Blue</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x PaWz Cooling Gel Mat</li>
</ul>",7/30/2020,,taxable,Taxable Goods,0,0,5,,1,3000,65.5,38,17,1,,44.99,99,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag",,,"https://www.idropship.com.au/pub/media/catalog/product/1/_/1_05l2wgs79kpjifck.jpg,https://www.idropship.com.au/pub/media/catalog/product/2/_/2_jwqywf5owqs3ywrk.jpg,https://www.idropship.com.au/pub/media/catalog/product/3/_/3_4xtstuabistxr5e5.jpg,https://www.idropship.com.au/pub/media/catalog/product/4/_/4_jq4hsublhh6gcrqn.jpg,https://www.idropship.com.au/pub/media/catalog/product/5/_/5_a1xfiog5a7zwkvfn.jpg,https://www.idropship.com.au/pub/media/catalog/product/6/_/6_t74nkcstmc7pykmn.jpg,https://www.idropship.com.au/pub/media/catalog/product/7/_/7_e3vhzxuht8jgdiic.jpg,https://www.idropship.com.au/pub/media/catalog/product/8/_/8_ou3lr098cualvceu.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Cooling Mat,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,simple,JC1052-L-PA,PaWz Pet Cooling Mat Gel Mats Bed Cool Pad Puppy Cat Non-Toxic Beds Summer L,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Keep your pet cool for the summer! Our PaWz cooling gel mat builds with eco-friendly technology that provides energy-free cooling for your 4 legged friends on hot days. Simply leave the mat in the room or patio, the mat will adjust the temperature itself and stays cool for any time uses. It can keep a temperature around 26-28 Celsius ( around 80-82.4 Fahrenheit ) which is a lot less than dogs / most pets body temperature. Foldable and portable, bring it to wherever you go with your pet! Get them now for your lovely buddy and see how much they enjoy it!</p>
<ul>
<li>Self-Cooling Mat</li>
<li>No refrigeration, no electricity, non-toxic</li>
<li>Resistant to scratches or wear</li>
<li>Easy to clean surface</li>
<li>Lightweight and portable</li>
<li>Convenient for storing and travelling</li>
<li>Can be used both indoor and outdoor</li>
<li>Good quality lasts for years</li>
</ul><b>SPECIFICATION</b><ul>
<li>Cover: PVC</li>
<li>Filling material: Gel &amp; sponge</li>
<li>Waterproof: Yes</li>
<li>Dimension:</li>
<li>L: 86cm x 86cm（L x W）</li>
<li>Colour：Yellow</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x PaWz Cooling Gel Mat</li>
</ul>",7/30/2020,,taxable,Taxable Goods,1,60,5,,1,3400,83,36,20,1,,36.613,109,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/J/C/JC1052-L-PA_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/C/JC1052-L-PA_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/C/JC1052-L-PA_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/C/JC1052-L-PA_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/C/JC1052-L-PA_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/C/JC1052-L-PA_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/C/JC1052-L-PA_47.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Cooling Mat,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,simple,T5034,PaWz Dog Ramp Pet Ramps Foldable Ladder Steps Stairs Portable Car Step  Travel,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Our PaWz&nbsp;Dog Ramp&nbsp;is great and safe for granting young or elderly pets to access to your vehicle. Gradual incline for pets hassle-free access and out, yet prevent injuries and joints issues.&nbsp;Rubber bottom provides a strong grip and maintain traction on any surface.&nbsp;Featuring portable and foldable design, it&nbsp;can be taken anywhere without taking up much space even travelling with your lovely dog. Get&nbsp;one&nbsp;and enjoy a memorable moment with your lovely dog in the following travelling.</p>
<p>&nbsp;</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Steady and stable construction</li>
<li>Hassle-free access and out</li>
<li>Anti-slip surface</li>
<li>Rubber gripper bottom</li>
<li>Prevent injuries and joints issue</li>
<li>Avoid hard and jarring landing</li>
<li>High bearing capacity</li>
<li>Foldable design</li>
<li>Fit all vehicles</li>
</ul><b>SPECIFICATION</b><p>Brand: PaWz</p>
<p>Material: Polypropylene</p>
<p>Weight capacity: 90kg&nbsp;&nbsp;</p>
<p>Foldable dimension: 77.5cm x 39.5cm x 20cm (L x W x H)</p>
<p>Overall dimension: 155cm x 39.5cm&nbsp;(L x W)</p>
<p>Colour: Black</p><b>PACKAGE CONTENTS</b><ul>
<li>1x PaWz Dog Ramp</li>
</ul>",7/30/2020,,taxable,Taxable Goods,1,100,5,,1,5000,80,20,41,1,,54.7105,129,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Carriers,Default Category/Pet Supplies/Other Pet Supplies,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/T/5/T5034_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/T/5/T5034_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/T/5/T5034_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/T/5/T5034_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/T/5/T5034_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/T/5/T5034_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/T/5/T5034_47.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Ramp,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,simple,PT0100,PaWz Massagers Pet Grooming Combs Massager Dog Cat Massage Bath Waterproof Brush,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>PaWz&nbsp;Massager&nbsp;is an ideal solution for&nbsp;your pets to release fatigue or tension effectively. &nbsp;Apart from muscle relieve for neck, arms, back, legs it helps pet to relieve itchiness. Clockwise / anti-clockwise rotation with two speed levels to choose a desire speed for target area. 4 massage heads with 76 massage points, wet or dry use available. Widely cover acupoints and provide a comfortable pressing, both human and pet friendly. Detachable massage head for easy cleaning. Furthermore, it comes with a USB interface for convenient charging. Lightweight yet silent operation, use it anywhere as you like.</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>Muscle and tension relieve</li>
<li>3D Massage structure</li>
<li>4&nbsp;Silicone massage head</li>
<li>One button operation</li>
<li>Clockwise / anti-clockwise rotation</li>
<li>Low or fast speed operation</li>
<li>Wet / dry use</li>
<li>Waterproof</li>
<li>76 Massage points</li>
<li>360 &deg; Rotation</li>
<li>Silent operation</li>
<li>Lightweight and portable</li>
<li>Detachable head for easy cleaning</li>
<li>Suitable for both pet and human use&nbsp;</li>
</ul><b>SPECIFICATION</b><p>Brand: PaWz</p>
<p>Outer material: ABS</p>
<p>Head material: Silicone&nbsp;</p>
<p>Speed: Slow or fast</p>
<p>Charing time: 1 Hour</p>
<p>Cable length:&nbsp;1m</p>
<p>Dimension: 11cm x 11cm x 16cm (L x W x H)</p>
<p>Colour: &nbsp;White</p><b>PACKAGE CONTENTS</b><ul>
<li>1 x PaWz Pet Massager</li>
<li>1 x USB Cable</li>
</ul>",,,taxable,Taxable Goods,0,0,5,,1,460,16,11,11,1,,35.79,80,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet 2/Pet Training,Default Category/Pet Supplies/Other Pet Supplies",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0100_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0100_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0100_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0100_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0100_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0100_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0100_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0100_48.jpg",,,,,,9.36E+12,Pet Products,Pet Massager,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,simple,JJ0778-CR,PaWz 0.8-2.1M Cat Scratching Perch Post Tree Gym House Condo Furniture Scratcher,Yes,Yes,visible,,"<b>DESCRIPTION</b>This product would help support positive scratching behavior<br><br>
<ul>
 <li>Environmental Friendly </li>
 <li>Can be used Indoor </li>
 <li>Great for Home &amp; Garden&amp; Crawl Space &amp; Pedestals</li>
 <li>High Quality Sisal Poles</li>
 <li>Strong Sturdy Construction</li>
 <li>100% safe to your cat and family</li>
 <li>Suitable for all size cats and kittens</li>
</ul><b>SPECIFICATION</b>specification<b>PACKAGE CONTENTS</b><ul>
<li>1x Cat Tree</li>
<li>1x Assembly Kit</li>
<li>1x User Manual</li>
</ul>",7/29/2021,,taxable,Taxable Goods,1,99,5,,1,16400,77,42,25,1,,80.99,219,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Cat Tree & Scratchers,Default Category/Pet 2/Cat Tree",,,"https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0778-CR_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0778-CR_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0778-CR_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0778-CR_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0778-CR_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0778-CR_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0778-CR_47.jpg,https://www.idropship.com.au/pub/media/catalog/product/J/J/JJ0778-CR_48.jpg",,,,,PaWz,9.36E+12,Pet Products,Cat Tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,simple,PT0113,Pet Grooming Scissors Set Hair Clipper Cutting Professional Tool Scissor Dog,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Spend too much money in Pet salon frequently? Our Pet Grooming Scissors Set with ultimate sharpness, smooth cutting and durability are an ideal solution for at home users. Consist four types of scissors which can meet any modeling needs.</p>
<p>4Cr13 stainless steel blade has higher hardness as well as corrosion resistance which last for decades. Roomy finger rest with cushion handle for secure holding, comfortable grip during trimming process. Comes with adjustable screw for a proper scissor tension. Don&rsquo;t forget to give your pet a comfortable brush after grooming, it is important to remove knots and tangles in order to reduce shedding. Let's create a beautiful shape for your pet!</p>
<p><strong>Key </strong><strong>Features:</strong></p>
<ul>
<li>7-Piece grooming set</li>
<li>Sharp and fast</li>
<li>Straight, curved and thinner cut</li>
<li>4Cr13 stainless steel</li>
<li>Rust-resistance</li>
<li>Target cut for specific area</li>
<li>Anti-slip cushion handle</li>
<li>Roomy finger rest</li>
<li>Adjustable scissor tension</li>
</ul><b>SPECIFICATION</b><p>Scissors&nbsp;material:&nbsp;4Cr13 Stainless steel</p>
<p>Dimension&nbsp;(L x W):</p>
<p>Straight scissors：17.5cm x 6.5cm</p>
<p>Upper curved scissors：17.5cm x 6cm</p>
<p>Lower bending scissors：17.5cm x 6cm</p>
<p>Thinning scissors: 17.5cm x 6.2cm</p>
<p>Colour: &nbsp;Sliver</p><b>PACKAGE CONTENTS</b><ul>
<li>1 x Straight scissors</li>
<li>1 x Upper curved scissors</li>
<li>1 x Lower bending scissors</li>
<li>1 x Thinning scissors</li>
<li>1 x Comb</li>
<li>1 x Cloth</li>
<li>1 x PU Leather Pouch</li>
</ul>",,,taxable,Taxable Goods,0,0,5,,1,420,11,3,22,1,,24.25,60,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet 2/Pet Feeder,Default Category/Pet Supplies/Other Pet Supplies",,,"https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0113_base.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0113_42.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0113_43.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0113_44.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0113_45.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0113_46.jpg,https://www.idropship.com.au/pub/media/catalog/product/P/T/PT0113_47.jpg",,,,,Unbranded,9.36E+12,Pet Products,Spinkelers,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,simple,JC1051-L-PN,PaWz Pet Cooling Mat Gel Mats Bed Cool Pad Puppy Cat Non-Toxic Beds Summer L,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Keep your pet cool for the summer! Our PaWz cooling gel mat builds with eco-friendly technology that provides energy-free cooling for your 4 legged friends on hot days. Simply leave the mat in the room or patio, the mat will adjust the temperature itself and stays cool for any time uses. It can keep a temperature around 26-28 Celsius ( around 80-82.4 Fahrenheit ) which is a lot less than dogs / most pets body temperature. Foldable and portable, bring it to wherever you go with your pet! Get them now for your lovely buddy and see how much they enjoy it!</p>
<ul>
<li>Self-Cooling Mat</li>
<li>No refrigeration, no electricity, non-toxic</li>
<li>Resistant to scratches or wear</li>
<li>Easy to clean surface</li>
<li>Lightweight and portable</li>
<li>Convenient for storing and travelling</li>
<li>Can be used both indoor and outdoor</li>
<li>Good quality lasts for years</li>
</ul><b>SPECIFICATION</b><ul>
<li>Cover: PVC</li>
<li>Filling material: Gel &amp; sponge</li>
<li>Waterproof: Yes</li>
<li>Dimension:</li>
<li>L: 66cm x 51cm（L x W）</li>
<li>Colour：Blue</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x PaWz Cooling Gel Mat</li>
</ul>",7/30/2020,,taxable,Taxable Goods,0,0,5,,1,1900,52,33.5,13,1,,39.59,69,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_z5quwrxkhkag2nnp.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_si8hfdblyx1prnz0.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_fp8bwfnmjagrl00v.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_jmhuzrqcbeix5rj8.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_abb2vhs3nqxqeg0i.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_zxfelt6rerwozyi6.jpg,https://www.idropship.com.au/pub/media/catalog/product/l/i/lifestyle_yxzlfhbm055ttvmi.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Cooling Mat,0,0,0,0,0,0,0,0,0,,,,,,,,,,
,simple,JC1053-XXL-WA,PaWz Pet Cooling Mat Gel Mats Bed Cool Pad Puppy Cat Non-Toxic Beds Summer XXL,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Keep your pet cool for the summer! Our PaWz cooling gel mat builds with eco-friendly technology that provides energy-free cooling for your 4 legged friends on hot days. Simply leave the mat in the room or patio, the mat will adjust the temperature itself and stays cool for any time uses. It can keep a temperature around 26-28 Celsius ( around 80-82.4 Fahrenheit ) which is a lot less than dogs / most pets body temperature. Foldable and portable, bring it to wherever you go with your pet! Get them now for your lovely buddy and see how much they enjoy it!</p>
<ul>
<li>Self-Cooling Mat</li>
<li>No refrigeration, no electricity, non-toxic</li>
<li>Resistant to scratches or wear</li>
<li>Easy to clean surface</li>
<li>Lightweight and portable</li>
<li>Convenient for storing and travelling</li>
<li>Can be used both indoor and outdoor</li>
<li>Good quality lasts for years</li>
</ul><b>SPECIFICATION</b><ul>
<li>Cover: PVC</li>
<li>Filling material: Gel</li>
<li>Waterproof: Yes</li>
<li>Dimension:</li>
<li>XXL: 100cm x 60cm（L x W)</li>
<li>Colour：Blue</li>
</ul><b>PACKAGE CONTENTS</b><ul>
<li>1x PaWz Cooling Gel Mat</li>
</ul>",7/30/2020,,taxable,Taxable Goods,1,97,5,,1,3000,34,24,11,1,,27.721,79,"Default Category/All Products,Default Category/Pet Supplies,Default Category/Pet Supplies/Pet Beds,Default Category/Pet 2/Pet Bed & Bag,Default Category/Deals & Offers",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_zezyap62arupktkd.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_e6kq6nvztpntutwp.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_j3wgwbu3mg5lwsjy.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_mvctwddvh6wxot8q.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_nfuijlzs7bqnrxgc.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_7uqbuzcv2ykl2npu.jpg,https://www.idropship.com.au/pub/media/catalog/product/l/i/lifestyle_8tpflhyamhhgofuv.jpg",,,,,PaWz,9.36E+12,Pet Products,Pet Cooling Mat,0,0,0,0,0,0,0,0,0,,,,,,,,,,
